"id";"referencia";"Tipo";"Estado";"Cidade";"Bairro";"endereco";"numero";"complemento";"descricao";"QtdDormitorio";"QtdSuite";"QtdBanheiro";"QtdBoxes";"AreaTotal";"AreaPrivativa";"areaUtil";"preco";"preco_loca";"precoCondominio";"DataCadastro"
"780954";"AP301983";"Apartamento 03 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"Exposição";"Rua Alfredo Chaves";"1285";"401 + tabela";"Empreendimento com vista e localização privilegiada, estrutura objetivando conforto e praticidade, sendo 03 suítes master com espera para closet e hidro, lavabo, sala com 03 ambientes, lavanderia, cozinha, sacada e fachada em pele de vidro.
ÚLTIMAS UNIDADES!";"3";"3";"4";"61";"320";"262";"262";"2389000";"0";"0";NULL
"781812";"AP302233";"Apartamento 03 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"De Lazzer";"Rodovia estrada federal, BR 116, km 123";"s/n";"Apto 42";"Apartamento amplo, com 03 dormitórios, cozinha mobiliada, lavanderia com banheiro auxiliar, sala de jantar e estar com sacada fechada, 01 vaga de garagem
Acabamento em esquadrias de madeira, piso cerâmico e piso laminado.
Condomínio com estacionamento para visitante, área de lazer, hall de entrada, playground externo e salão de festas com churrasqueira e mobiliado.
Com vista para a praça e excelente orientação solar. ";"3";"0";"2";NULL;"114";"86";"86";"210000";"0";"150";NULL
"786078";"TER02308";"Terreno";"RIO GRANDE DO SUL";"Caxias do Sul";"São Luiz";"Rua Adelino Canali";NULL;NULL;"Ótimo terreno, bem localizado e com uma excelente posição solar no Bairro São Luiz. Próximo ao supermercado, farmácia e posto de gasolina.";NULL;"0";NULL;NULL;"0";NULL;NULL;"256000";"0";"0";"2021-02-08 15:59:00"
"804962";"SB202296";"Sobrado 02 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"Vinhedos";"Rua Antonio Roberto Schumacher";"90";"01";"Excelente sobrado para você que gosta de receber pessoas em sua residência, muito aconchegante e acolhedor, o lugar perfeito para você e sua família viverem lindos momentos!
Sobrado semimobiliado com 02 dormitórios sendo 01 suíte, 02 banheiros, 02 vagas de garagem e possui sacada na sala e no dormitório do casal;
Estacionamento frontal, amplo pátio de fundos com deck de madeira e piscina aquecida;
Agende já sua visita neste empreendimento que é uma exclusividade da Nobille;
";"2";"1";"2";NULL;NULL;"111";"111";"529000";"0";"0";"2021-04-15 15:15:37"
"824038";"SB302324";"Sobrado 03 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"Vila Verde";"Rua Ruy Francisco Chiarello";"17";"SB | N°2";"Sobrado em ótima localização, 03 dormitórios sendo 01 suíte, banheiro social, área de serviço, churrasqueira, cozinha e sala de jantar e estar;
Acabamento com piso laminado e porcelanato, gelosia e esquadrias de alumínio;
Sobrado gradeado com portão eletrônico e com pátio.";"3";"1";"3";NULL;"109";"91";"91";"350000";"0";"0";"2021-05-19 16:44:21"
"844862";"AP302371";"Apartamento 03 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"Vinhedos";"Rua Padre Alberto Luiz Lamonato";"177";"AP | N° 704";"Excelente apartamento smimobiliado no bairro Vinhedos, 97 m² privativos, 03 dormitórios sendo 01 suíte, living para 02 ambientes, sacada gourmet com churrasqueira, espera para vidro duplo, rebaixe em gesso liso, 02 vagas de garagem; 
Condomínio com 02 elevadores, 02 salões de festas mobiliados, academia equipada, espaço kids mobiliado e área social de convivência.";"3";"1";"2";"36";"126";"97";"97";"600000";"0";"150";"2021-06-24 17:57:40"
"855942";"AP202412";"Apartamento 02 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"Sagrada Família";"Rua Benjamin Constant";"304";"AP | N°502";"Lindo apartamento, finamente decorado localizado no bairro Sagrada Família na av. principal, próximo a BR 116 e ao Andreazza;
Semimobiliado, sai alguns eletros que não são fixos ou embutidos, 02 dormitórios sendo 01 suíte.";"2";"1";"2";"1";"119";"89";"89";"435000";"0";"300";"2021-07-28 11:37:30"
"856474";"CA302349";"Casa 03 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"Sagrada Família";"Rua Doutor Júlio Rosa Cruz";"941";NULL;"Ótima casa com 03 dormitórios sendo 02 suítes e sacada, banheiro social, sala de estar e jantar com lavabo, copa/cozinha, garagem para 04 carros ;
Amplo pátio cercado com grades e muros.";"3";"2";"5";NULL;"328";"255";"255";"850000";"0";"0";"2021-07-30 10:39:32"
"861304";"AP202433";"Apartamento 02 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"Cruzeiro";"Rua Sagitárius";"617";"Nº 201";"Excelente apartamento semimobiliado 02 dormitórios sendo 01 suíte, sala de estar e de jantar, área de serviço e sacada com churrasqueira;
Acabamento com teto rebaixado em gesso, esquadrias de pvc, piso laminado e porcelanato;
Condomínio com elevador, portão eletrônico e cerca elétrica.";"2";"1";"2";NULL;NULL;"78";"78";"403000";"0";"0";"2021-08-17 13:35:51"
"861465";"CA402332";"Casa 04 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"Cinquentenário";"Rua Othelo Rosa";"235";NULL;"Ótima casa a venda composta por 04 quartos sendo 01 suíte, sacadas frente e fundos, lareira e churrasqueira, adega de pedra, lavanderia, estacionamento, ampla sala de estar, ampla suíte com sacada e hidromassagem, piso taboão, local bem arborizado, árvores frutíferas, cercada e murada, semimobiliada com móveis sob medida;
Casa com 3 pavimentos, imóvel com 2 terrenos, 1 de 400,70m² onde está localizado a casa e outro de 413,80 de esquina;
Região nobre em local alto, posição solar Norte//Leste/Oeste, próxima ao centro e shopping Iguatemi";"4";"1";"5";NULL;"814";"427";"427";"1700000";"0";"0";"2021-08-18 09:37:23"
