"id";"referencia";"Tipo";"Estado";"Cidade";"Bairro";"endereco";"numero";"complemento";"descricao";"QtdDormitorio";"QtdSuite";"QtdBanheiro";"QtdBoxes";"AreaTotal";"AreaPrivativa";"areaUtil";"preco";"preco_loca";"precoCondominio";"DataCadastro"
"407315";"0571";"Apartamento";"RIO GRANDE DO SUL";"Porto Alegre";"Jardim Botãnico";"Rua Felizardo Furtado";"415";"Condomínio";"Apto com 50,00m², com 02 dormitórios, sala, cozinha, lavanderia e banheiro. Condomínio fechado totalmente arborizado, play ground, salão de festas, quadra esportiva e quiosque. Ótima localização, bairro Jardim Botânico, próximo ao hipermercado Bourbon Ipiranga, à 3ª Perimetral, UFRGS e Av. Protásio Alves.";"2";"0";"1";NULL;"50";"50";NULL;"200000";"0";"0";"2017-04-05 00:00:00"
"260223";"163856";"Casa Comercial";"RIO GRANDE DO SUL";"Porto Alegre";"Moinhos de Vento";"Miguel Tostes";"30";"";"Flet c/ 42 m²,  quarto d casal, banheiro, cozinha ( mobiliado) c/ serviço de quarto, box 02 carros. Bairro Nobre.";"0";"0";"0";NULL;"0";"42";NULL;"400000";"0";"0";"2015-06-08 00:00:00"
"260230";"163857";"FLAT ou Apart hotel";"RIO GRANDE DO SUL";"Porto Alegre";"Moinhos de Vento";"Miguel Tostes";"30";"";"Flet c/ 42 m², mobiliado, quarto casal, cozinha, banheiro, 02 box, Bairro Nobre.";"0";"0";"0";NULL;"0";"42";NULL;"0";"0";"0";"2015-06-08 00:00:00"
"272086";"163950";"Apartamento";"RIO GRANDE DO SUL";"Porto Alegre";"Petrópolis";"Rua Caçapava";"507";"";"Apartamento amplo,no terceiro andar c/ sala, cozinha, 03 dormitórios, área de serviço, garagem, cerca elétrica, portão eletrônico, ótimo bairro.";"2";"0";"1";NULL;"0";"0";NULL;"350000";"0";"0";"2015-08-04 00:00:00"
"288844";"164164";"Apartamento";"RIO GRANDE DO SUL";"Porto Alegre";"praia de belas";"rua padre cacique";"3026";"apt 204";"Vendo Apto em POA 2Dorm, 1Vaga escriturada, Mobiliado. Localização excelente: Entre o Barra Shopping e o Iberê Camargo";"2";"0";"1";NULL;"0";"0";NULL;"0";"0";"0";"2015-11-25 00:00:00"
"336070";"164325";"Terreno";"RIO GRANDE DO SUL";"Porto Alegre";"santana";"sao manoel";"1606";"";"terreno medindo 6,6 de frente por 48 fundos";"0";"0";"0";NULL;"546";"0";NULL;"680000";"0";"0";"2016-06-01 00:00:00"
"167860";"1772";"Apartamento";"RIO GRANDE DO SUL";"Porto Alegre";"Rio Branco";"Av. Protásio Alves";"208";"Apto 701";"Lindo Apartamento localizado no bairro Rio Branco em Porto Alegre. Com 03 dormitórios sendo 01 suíte, amplo living com 02 ambientes, copa cozinha, dependência de empregada, banheiro social, banheiro serviço, água quente encanada e 01 vaga de garagem escriturada no subsolo com depósito. Andar alto, mobiliado, bem iluminado e bem ventilado. Empreendimento conta com 02 elevadores, churrasqueira coletiva e portaria 24h com eclusa de segurança. Ótima localização em bairro nobre. Consulte-nos.";"3";"1";"2";NULL;"124";"105";NULL;"475000";"0";"450";"2014-09-15 00:00:00"
"265914";"161949";"Apartamento";"RIO GRANDE DO SUL";"Porto Alegre";"São Sebastião";"Rua Ministro Oliveira Lima";"248";"301";"Otimo apartamento 3 dormitórios,sala,cozinha, banheiro, de frente 2º piso, prédio pequeno com garagem.";"3";"0";"1";NULL;"0";"59";NULL;"200000";"0";"0";"2015-06-29 00:00:00"
"42754";"351";"Casa";"RIO GRANDE DO SUL";"Porto Alegre";"Cristo Redentor";"Travessa Américo silveira";"445";"";"TESTEESTESTE TESTE TESTES";"3";"0";"0";NULL;"0";"0";NULL;"0";"0";"0";"2011-12-28 00:00:00"
"28666";"28666";"Apartamento";"RIO GRANDE DO SUL";"Porto Alegre";"Vila Jardim";"Saturnino de Brito";"355";"Apartamento térreo de meio";"APARTAMENTO EM PORTO ALEGRE COM 1 DORMITÓRIO, SALA, COZINHA E BANHEIRO.";"1";"0";"1";NULL;"0";"0";NULL;"80000";"0";"0";"2011-06-08 00:00:00"
