Id;Logradouro;Numero;Complemento;Bairro;Referencia;CEP;Transacao;Preco;Data de Transacao;Tipo de Financiamento;Valor Financiado;Cartório de Registro;Matrícula do Imóvel;Situação do SQL;Área do Terreno (m2);Testada (m);Área Construída (m2);Uso (IPTU);Descrição do uso (IPTU);Padrão (IPTU);ACC (IPTU);ACC (IPTU)
1;AV ARICANDUVA;9340;AP 15 E VG;TORRE B;COND DAS AZALEIAS;3951220;1.Compra e venda;199000;19/11/2019;1.Sistema Financeiro de Habitação;158843,87;9  CARTORIO DE REGISTRO DE IMOVEL;290511;Ativo Predial;6584;50,37;95;20;APARTAMENTO EM CONDOMÍNIO (EXIGE FRAÇÃO IDEAL);22;RESIDENCIAL VERTICAL;2016
2;R JOSE JARDIM DA SILVEIRA;95;AP 1104;SANTO AMARO;;4674230;1.Compra e venda;215391,61;19/11/2019;1.Sistema Financeiro de Habitação;172313,28;11  CARTORIO DE REGISTRO DE IMOVEL;450176;Cancelado Predial;970;42,8;184;64;OUTRAS EDIFICAÇÕES DO TIPO, COM UTILIZAÇÃO MÚLTIPLA;82;BARRACÃO/TELHEIRO, OFICINA, POSTO DE SERVIÇO, ARMAZÉM/DEPÓSITO, INDÚSTRIA ;1988
3;R JOSE JARDIM DA SILVEIRA;95;AP 903;SANTO AMARO;;4674230;1.Compra e venda;230506,37;19/11/2019;1.Sistema Financeiro de Habitação;134314,71;11  CARTORIO DE REGISTRO DE IMOVEL;450176;Cancelado Predial;970;42,8;184;64;OUTRAS EDIFICAÇÕES DO TIPO, COM UTILIZAÇÃO MÚLTIPLA;82;BARRACÃO/TELHEIRO, OFICINA, POSTO DE SERVIÇO, ARMAZÉM/DEPÓSITO, INDÚSTRIA ;1988
4;R JOSE JARDIM DA SILVEIRA;95;AP 404;SANTO AMARO;;4674230;1.Compra e venda;229498,47;19/11/2019;1.Sistema Financeiro de Habitação;149152,51;11  CARTORIO DE REGISTRO DE IMOVEL;450176;Cancelado Predial;970;42,8;184;64;OUTRAS EDIFICAÇÕES DO TIPO, COM UTILIZAÇÃO MÚLTIPLA;82;BARRACÃO/TELHEIRO, OFICINA, POSTO DE SERVIÇO, ARMAZÉM/DEPÓSITO, INDÚSTRIA ;1988
5;R JOSE JARDIM DA SILVEIRA;95;AP 403;SANTO AMARO;;4674230;1.Compra e venda;229225,84;19/11/2019;1.Sistema Financeiro de Habitação;73558,45;11  CARTORIO DE REGISTRO DE IMOVEL;450176;Cancelado Predial;970;42,8;184;64;OUTRAS EDIFICAÇÕES DO TIPO, COM UTILIZAÇÃO MÚLTIPLA;82;BARRACÃO/TELHEIRO, OFICINA, POSTO DE SERVIÇO, ARMAZÉM/DEPÓSITO, INDÚSTRIA ;1988
6;R JOSE JARDIM DA SILVEIRA;95;AP 1412;SANTO AMARO;;4674230;1.Compra e venda;235972,36;19/11/2019;1.Sistema Financeiro de Habitação;140580,93;11  CARTORIO DE REGISTRO DE IMOVEL;450176;Cancelado Predial;970;42,8;184;64;OUTRAS EDIFICAÇÕES DO TIPO, COM UTILIZAÇÃO MÚLTIPLA;82;BARRACÃO/TELHEIRO, OFICINA, POSTO DE SERVIÇO, ARMAZÉM/DEPÓSITO, INDÚSTRIA ;1988
7;R JOSE JARDIM DA SILVEIRA;95;AP 1407;SANTO AMARO;;4674230;1.Compra e venda;236092,32;19/11/2019;1.Sistema Financeiro de Habitação;188873,85;11  CARTORIO DE REGISTRO DE IMOVEL;450176;Cancelado Predial;970;42,8;184;64;OUTRAS EDIFICAÇÕES DO TIPO, COM UTILIZAÇÃO MÚLTIPLA;82;BARRACÃO/TELHEIRO, OFICINA, POSTO DE SERVIÇO, ARMAZÉM/DEPÓSITO, INDÚSTRIA ;1988
8;R JOSE JARDIM DA SILVEIRA;95;AP 709;SANTO AMARO;;4674230;1.Compra e venda;239809,81;19/11/2019;1.Sistema Financeiro de Habitação;162359,06;11  CARTORIO DE REGISTRO DE IMOVEL;450176;Cancelado Predial;970;42,8;184;64;OUTRAS EDIFICAÇÕES DO TIPO, COM UTILIZAÇÃO MÚLTIPLA;82;BARRACÃO/TELHEIRO, OFICINA, POSTO DE SERVIÇO, ARMAZÉM/DEPÓSITO, INDÚSTRIA ;1988
9;R JOSE JARDIM DA SILVEIRA;95;AP 905;SANTO AMARO;;4674230;1.Compra e venda;230566,35;19/11/2019;1.Sistema Financeiro de Habitação;150454,86;11  CARTORIO DE REGISTRO DE IMOVEL;450176;Cancelado Predial;970;42,8;184;64;OUTRAS EDIFICAÇÕES DO TIPO, COM UTILIZAÇÃO MÚLTIPLA;82;BARRACÃO/TELHEIRO, OFICINA, POSTO DE SERVIÇO, ARMAZÉM/DEPÓSITO, INDÚSTRIA ;1988
10;R JOSE JARDIM DA SILVEIRA;95;AP 1609;SANTO AMARO;;4674230;1.Compra e venda;263650,88;19/11/2019;1.Sistema Financeiro de Habitação;216000;11  CARTORIO DE REGISTRO DE IMOVEL;450176;Cancelado Predial;970;42,8;184;64;OUTRAS EDIFICAÇÕES DO TIPO, COM UTILIZAÇÃO MÚLTIPLA;82;BARRACÃO/TELHEIRO, OFICINA, POSTO DE SERVIÇO, ARMAZÉM/DEPÓSITO, INDÚSTRIA ;1988
11;R JOSE JARDIM DA SILVEIRA;95;AP 607;SANTO AMARO;;4674230;1.Compra e venda;239117,2;19/11/2019;1.Sistema Financeiro de Habitação;144955,99;11  CARTORIO DE REGISTRO DE IMOVEL;450176;Cancelado Predial;970;42,8;184;64;OUTRAS EDIFICAÇÕES DO TIPO, COM UTILIZAÇÃO MÚLTIPLA;82;BARRACÃO/TELHEIRO, OFICINA, POSTO DE SERVIÇO, ARMAZÉM/DEPÓSITO, INDÚSTRIA ;1988
